id,name,normalized_name
680,Dock,dock
681,Ship,ship
682,Skull Island,skull island
683,Island,island
684,Jungle,jungle
685,Giant Wall,giant wall
686,A Springfield Theater,a springfield theater
687,Another Theater,another theater
688,Empire State Building,empire state building
689,Biplane,biplane
690,Pet Cemetery,pet cemetery
691,Space,space
692,Starship Engine Room,starship engine room
693,Chippendale-Type Dance Club,chippendale-type dance club
694,Homer's Living Room,homer living room
695,Springfield Elementary Schoolyard,springfield elementary schoolyard
696,Restaurant Parking Lot,restaurant parking lot
697,The Spruce Caboose,the spruce caboose
698,Grampa's Car,grampa car
699,Las Vegas,las vegas
700,Las Vegas Hotel Stage show,las vegas hotel stage show
701,Krustylu Studios,krustylu studios
702,Winfield And Simpson Houses,winfield and simpson houses
703,Winfield Basement,winfield basement
704,Suburban House,suburban house
705,Powers House,powers house
706,Two Guys from Kabul,two guys from kabul
707,The Frying Dutchman,the frying dutchman
708,Courthouse,courthouse
709,Hawaiian Island,hawaiian island
710,Big Top,big top
711,Used Car Lot,used car lot
712,Car Show,car show
713,Condominium Complex,condominium complex
714,Mc Mahon And Tate Advertising Agency,mc mahon and tate advertising agency
715,Agency,agency
716,Woman'S House,woman house
717,Mountain,mountain
718,Widow'S Peak Turnoff,widow peak turnoff
719,Truck,truck
720,Small Apartment,small apartment
721,Realtor'S Office,realtor office
722,Rendering Plant,rendering plant
723,Harbor,harbor
724,Yet Another House,yet another house
725,Truck Cab,truck cab
726,Gas Station,gas station
727,Hospital Emergency Room,hospital emergency room
728,Emergency Room,emergency room
729,Cathedral,cathedral
730,Merry Widow Insurance Company,merry widow insurance company
731,Insurance Company,insurance company
732,Springfield Temple,springfield temple
733,Springfield Buddhist Temple,springfield buddhist temple
734,Medical Library,medical library
735,Operating Theater,operating theater
736,College Frat House,college frat house
737,Hospital Waiting Room,hospital waiting room
738,Intensive Care Corridor,intensive care corridor
739,Springfield Park,springfield park
740,Springfield County Court House,springfield county court house
741,Monorail Conductor Class,monorail conductor class
742,Monorail Construction Site,monorail construction site
743,Monorail Cockpit,monorail cockpit
744,Lanley'S Ofc.,lanley ofc
745,Office,office
746,North Haverbrook,north haverbrook
747,Monorail,monorail
748,Springfield Central Monorail Platform,springfield central monorail platform
749,Monorail Dais,monorail dais
750,Monorail Platform,monorail platform
751,Monorail Engine,monorail engine
752,Monorail Cabin,monorail cabin
1695,Sportacus,sportacus
753,Command Center,command center
754,Hall Of Records,hall of records
755,Sky,sky
756,North Haverbrook Airport,north haverbrook airport
757,Doctors Office,doctors office
758,Anchor Store,anchor store
759,Simpson Station Wagon,simpson station wagon
760,Diner,diner
761,"""the Lucky Stiff"" Funeral Home",the lucky stiff funeral home
762,Funeral Parlor,funeral parlor
763,Funeral Parlor Office,funeral parlor office
764,Dating Service,dating service
765,Gypsy Shack,gypsy shack
766,Cryogenics Bank,cryogenics bank
767,Sperm Bank,sperm bank
768,Selma'S House,selma house
769,Selma's Apartment,selma apartment
770,Simpson Driveway,simpson driveway
771,Duff Gardens Entrance,duff gardens entrance
772,Beer Hall Of The Presidents,beer hall of the presidents
773,Duff Garden Souvenir Shop,duff garden souvenir shop
774,Little Land Of Duff,little land of duff
775,Duff Gardens,duff gardens
776,Security Office,security office
777,Soccer Field,soccer field
778,Simpson TV Room,simpson tv room
779,Bathtub,bathtub
780,Bigger Brother Agency,bigger brother agency
781,Agency Office,agency office
782,Springfield Stadium,springfield stadium
783,Baseball Field,baseball field
784,Sky Over Springfield,sky over springfield
785,Tenement Building,tenement building
786,Pepi'S Street,pepi street
787,Pepi's Apartment,pepi apartment
788,Marine World,marine world
789,Aquarium,aquarium
790,Kbbl Radio,kbbl radio
791,Lunch Room,lunch room
792,Wiggum Home,wiggum home
793,Adult Movie Theater,adult movie theater
794,President'S Box,president box
795,Springfield Elementary School Auditorium,springfield elementary school auditorium
796,Auditorium Stage Door,auditorium stage door
797,Nuclear Plant Parking Lot,nuclear plant parking lot
798,Duff Brewery,duff brewery
799,Duff Museum,duff museum
