character_id,name,normalized_name,gender
5292,Cube-Shaped Homer,cube-shaped homer,unknown
5293,Mark Cuban,mark cuban,unknown
5294,Man In Gorilla Suit,man in gorilla suit,unknown
5295,Angel Mark Cuban,angel mark cuban,unknown
5296,Muk Mu,muk mu,unknown
5297,Swarm,swarm,unknown
5252,Alberto,alberto,m
5298,Marv Albert,marv albert,unknown
5299,Millionaire,millionaire,unknown
5300,Art Instructor,art instructor,unknown
5302,Folk Art Singer,folk art singer,unknown
5303,Prof. Hobbes,prof hobbes,unknown
5304,Mrs. Hobbes,mrs hobbes,unknown
5305,Fairy Princess,fairy princess,unknown
5306,Two-Nicorn,two-nicorn,unknown
5307,Immigration Official,immigration official,unknown
5308,Dragon Kearney,dragon kearney,unknown
5309,Goblin Jimbo,goblin jimbo,unknown
5310,Teenage Vance Connor,teenage vance connor,unknown
5311,Vance Connor,vance connor,unknown
5312,Teenage Carl,teenage carl,unknown
5313,Al Gore,al gore,unknown
5314,Administrators,administrators,unknown
5315,Jock #1,jock 1,unknown
5316,Jock #2,jock 2,unknown
5317,Old Italian Man,old italian man,unknown
5318,Rest Of Kids,rest of kids,unknown
5319,Voices From Sauce,voices from sauce,unknown
5320,Student With Glasses,student with glasses,unknown
5321,Student Reporter,student reporter,unknown
5322,TEEN MAUDE FLANDERS,teen maude flanders,unknown
5323,Debbie Pinson,debbie pinson,unknown
5324,Teenage Selma,teenage selma,unknown
5325,Teenage Patty,teenage patty,unknown
5326,Young Smithers,young smithers,unknown
5327,Mr. Becker,mr becker,unknown
5328,Daffodils Reading Group,daffodils reading group,unknown
5329,Boys' Chorus,boys chorus,unknown
5330,Girls' Chorus,girls chorus,unknown
5331,Other Boys,other boys,unknown
5332,Barge Captain,barge captain,unknown
5333,Au Pair,au pair,unknown
5334,Male Neighbor,male neighbor,unknown
5335,Female Neighbor,female neighbor,unknown
5336,Eerie Voice,eerie voice,unknown
5337,2nd Orderly,2nd orderly,unknown
5338,Dwight Eisenhower,dwight eisenhower,unknown
5339,Nancy Gladness,nancy gladness,unknown
5340,Nat Gladness,nat gladness,unknown
5341,Photo Simpsons,photo simpsons,unknown
5342,Mother Superior,mother superior,unknown
5343,Mysterious Nun,mysterious nun,unknown
